ID,Nom,Cognom,DNI,Email,Data naixement,Centre,Estat
1,Andrei,Bordeianu,X8174346P,ab@gmail.com,20/01/99,IES Montsià,Actiu
2,Cezar,Popescu,X8174346P,cp@gmail.com,20/01/99,IES Montsià,Actiu
3,Marc,Martí,X8174346P,mm@gmail.com,20/01/99,IES Montsià,Actiu
4,Daniela,Gallardo,X8174346P,dg@gmail.com,20/01/99,IES Montsià,Actiu
5,Xavier,Naves,X8174346P,xn@gmail.com,20/01/99,IES Montsià,Actiu
6,Guillem,Homedes,X8174346P,gh@gmail.com,20/01/99,IES Montsià,Actiu
7,Kevin,Costes,X8174346P,kc@gmail.com,20/01/99,IES Montsià,Actiu
8,Aleix,Esteve,X8174346P,ae@gmail.com,20/01/99,IES Montsià,Actiu
9,Didac,Roiget,X8174346P,dr@gmail.com,20/01/99,IES Montsià,Actiu
10,Svyatos,Semenyuk,X8174346P,ss@gmail.com,20/01/99,IES Montsià,Actiu
